,ProE/BasoE,Early-PolyE,Late-PolyE,Early-OrthoE,Late-OrthoE
SP2_extended_982g,0.06315638,0.082681676,0.098099946,0.102469562,0.106721588
HDAC6_extended_652g,0.037167528,0.055458192,0.060933725,0.065261367,0.068397719
GTF2F1_70g,0.002312091,0.003428796,0.006389737,0.004797306,0.003066093
ATF1_extended_121g,0.001528099,0.002705218,0.004169678,0.004494426,0.0032132
CREB1_21g,0.001229964,0.002345732,0.006984295,0.010712647,0.007273602
NFYC_extended_649g,0.089660055,0.11997979,0.091865963,0.091465162,0.095314974
NFYC_198g,0.016215372,0.02146335,0.014503448,0.014477485,0.011305159
TCF3_extended_69g,0.004597834,0.011087576,0.006291489,0.004614646,0.00374236
MLX_extended_98g,0.006303213,0.010123861,0.011109707,0.011739887,0.009904083
MLX_37g,0.003396055,0.003859448,0.004490427,0.004215268,0.003073926
BDP1_extended_19g,0.001473088,0.002962888,0.002794672,0.003559061,0.001720455
BDP1_17g,0.001587523,0.002843319,0.003037055,0.003943904,0.00184977
E2F8_extended_113g,0.002807261,0.00249883,0.003569784,0.002818785,0.0028841
E2F8_41g,0.003313397,0.001678355,0.002301442,0.001834369,0.003124875
